equipment_id,equipment_name,equipment_type,raw_description,mastery_action,effect_tags,recommendation_tags,source,source_date,verification_status,notes
stun_grenade,Stun Grenade,Tactical,Slows victim's movement and aiming.,Stunned & Killed,movement_slow;aiming_slow;enemy_disruption,tactical_mastery;enemy_control;close_range,in_game_screenshot,2026-07-11,verified,
emp_grenade,EMP Grenade,Tactical,"Disables or destroys electronics. Effective against equipment, scorestreaks, and enemy players.",Disrupted & Killed,electronics_disable;electronics_destroy;equipment_counter;scorestreak_counter;player_disruption,tactical_mastery;counter_equipment;counter_scorestreak,in_game_screenshot,2026-07-11,verified,
pinpoint_grenade,Pinpoint Grenade,Tactical,Grenade that shoots tracking devices at enemies. Tracked enemies are marked on the minimap and visible through walls for a short time.,Detected & Killed,enemy_tracking;minimap_mark;wall_visibility;temporary_detection,tactical_mastery;headshots;enemy_tracking;team_support,in_game_screenshot,2026-07-11,verified,
flashbang,Flashbang,Tactical,Blinds and deafens targets.,Blinded & Killed,vision_impairment;hearing_impairment;enemy_disruption,tactical_mastery;room_entry;objective_attack,in_game_screenshot,2026-07-11,verified,
stim_shot,Stim Shot,Tactical,Military stimulant that quickly heals combat wounds.,Heal & Kill,self_healing;health_recovery,tactical_mastery;aggressive_play;survivability,in_game_screenshot,2026-07-11,verified,
psych_grenade,Psych Grenade,Tactical,"Explodes on impact, releasing a lingering cloud of hallucinogenic gas.",Disoriented & Killed,impact_detonation;hallucinogenic_gas;lingering_area;enemy_disorientation,tactical_mastery;area_denial;objective_play,in_game_screenshot,2026-07-11,verified,
smoke,Smoke,Tactical,Deploys a smoke screen that blocks vision and automated targeting systems.,Smoked & Killed,vision_block;automated_targeting_block;area_concealment,tactical_mastery;objective_play;revives;positioning,in_game_screenshot,2026-07-11,verified,
hunter_bot,Hunter Bot,Tactical,"Personal defense drone hovers in air and targets enemy Equipment, Field Upgrades, and Scorestreaks. Can counter grenades.",Destructions,equipment_counter;field_upgrade_counter;scorestreak_counter;grenade_counter;autonomous_drone,tactical_mastery;counter_equipment;objective_defence,in_game_screenshot,2026-07-11,verified,
decoy,Decoy,Tactical,Grenade that simulates footsteps and gunfire sounds to confuse enemies. Sticks to surfaces.,Deceived & Killed,false_footsteps;false_gunfire;audio_decoy;surface_stick,tactical_mastery;deception;flanking,in_game_screenshot,2026-07-11,verified,
shock_charge,Shock Charge,Tactical,"Electrical device that sticks to surfaces and electrocutes enemies, stunning them.",,surface_stick;electrocution;enemy_stun;area_denial,area_denial;objective_defence;trap_play,in_game_screenshot,2026-07-11,verified,Mastery action was not visible in the capture.
frag,Frag,Lethal,Cookable fragmentation grenade.,Kills,cookable;timed_fuse;explosive;area_damage,lethal_mastery;direct_explosive_kills;objective_clear,in_game_screenshot,2026-07-11,verified,
cluster_grenade,Cluster Grenade,Lethal,Grenade that scatters smaller explosives when detonated.,Kills,cluster_explosive;multiple_detonations;area_damage,lethal_mastery;area_saturation;objective_clear,in_game_screenshot,2026-07-11,verified,
semtex,Semtex,Lethal,Timed sticky grenade.,Kills,sticky;timed_fuse;explosive,lethal_mastery;direct_explosive_kills;equipment_destruction,in_game_screenshot,2026-07-11,verified,
needle_drone,Needle Drone,Lethal,Small flying drone that explodes on impact. Toggles between auto or manual control.,Kills,flying_drone;impact_explosion;automatic_control;manual_control,lethal_mastery;precision_kills;autonomous_targeting,in_game_screenshot,2026-07-11,verified,
molotov,Molotov,Lethal,Thrown incendiary weapon creates a patch of flames.,Kills,incendiary;lingering_fire;area_denial,lethal_mastery;area_denial;objective_defence,in_game_screenshot,2026-07-11,verified,
point_turret,Point Turret,Lethal,"Small deployable sentry turret that automatically shoots at enemies, distracting and damaging them.",Aided Kills,deployable_turret;automatic_targeting;enemy_distraction;sustained_damage,lethal_mastery;objective_defence;area_control,in_game_screenshot,2026-07-11,verified,
c4,C4,Lethal,Large explosive that sticks to surfaces and can be detonated remotely with RB when the equipment is depleted. Double-tapping F always detonates the explosives.,Kills,sticky;remote_detonation;manual_detonation;large_explosion,lethal_mastery;trap_play;objective_defence,in_game_screenshot,2026-07-11,verified,Displayed control prompts reflect the active input devices.
combat_axe,Combat Axe,Lethal,Thrown axe that kills enemies in one hit. Bounces off surfaces.,Kills,one_hit_kill;throwable;surface_bounce;direct_hit,lethal_mastery;precision_kills;style_challenges,in_game_screenshot,2026-07-11,verified,
impact_grenade,Impact Grenade,Lethal,A grenade that explodes on impact.,,impact_detonation;explosive;direct_damage,direct_explosive_kills;fast_detonation;objective_clear,in_game_screenshot,2026-07-11,verified,Mastery action was not visible in the capture.
thermo_grenade,Thermo Grenade,Lethal,Creates a large fuel-air cloud that explodes after a duration.,,fuel_air_cloud;delayed_explosion;area_damage,area_saturation;objective_clear;area_denial,in_game_screenshot,2026-07-11,verified,Mastery action was not visible in the capture.
