rule_type,key,value
military_counts,default,5|10|20|30|40|50|60|80|100
military_challenge,Assault Rifles,Eliminations
military_challenge,Submachine Guns,Eliminations
military_challenge,Shotguns,Eliminations
military_challenge,LMGs,Eliminations
military_challenge,Marksman Rifles,Eliminations
military_challenge,Sniper Rifles,Eliminations
military_challenge,Pistols,Eliminations
military_challenge,Launchers,Eliminations
military_challenge,Specials,Eliminations
military_challenge,Melee,Eliminations
class_gate,Assault Rifles,6
class_gate,Submachine Guns,6
class_gate,Shotguns,3
class_gate,LMGs,2
class_gate,Marksman Rifles,3
class_gate,Sniper Rifles,3
class_gate,Pistols,3
class_gate,Launchers,2
class_gate,Specials,2
class_gate,Melee,2
mastery_challenge,Golden Damascus,Get 3 kills in a single match 5 times
mastery_challenge,Starglass,Get 5 kills without dying 5 times
mastery_challenge,Absolute Zero,Get 10 eliminations while finishing in the Top 10
mastery_challenge,Apocalypse,Earn Absolute Zero for 30 weapons including this weapon
mastery_challenge_pistol,Golden Damascus,Get 3 kills in a single match 2 times
mastery_challenge_pistol,Starglass,Get 5 kills without dying 2 times
mastery_challenge_pistol,Absolute Zero,Get 5 eliminations while finishing in the Top 10
mastery_challenge_pistol,Apocalypse,Earn Absolute Zero for 30 weapons including this weapon
mastery_challenge_launcher,Golden Damascus,Get 3 kills in a single match 2 times
mastery_challenge_launcher,Starglass,Get 5 kills without dying 2 times
mastery_challenge_launcher,Absolute Zero,Get 3 eliminations while finishing in the Top 10
mastery_challenge_launcher,Apocalypse,Earn Absolute Zero for 30 weapons including this weapon
mastery_challenge_melee,Golden Damascus,Get 3 kills in a single match 2 times
mastery_challenge_melee,Starglass,Get 5 kills without dying 2 times
mastery_challenge_melee,Absolute Zero,Get 3 eliminations while finishing in the Top 10
mastery_challenge_melee,Apocalypse,Earn Absolute Zero for 30 weapons including this weapon
mastery_challenge_special,Golden Damascus,Get 3 kills in a single match 2 times
mastery_challenge_special,Starglass,Get 5 kills without dying 2 times
mastery_challenge_special,Absolute Zero,Get 3 eliminations while finishing in the Top 10
mastery_challenge_special,Apocalypse,Earn Absolute Zero for 30 weapons including this weapon
recommended_mode,Warzone,"Resurgence Casual, or Battle Royale Casual if Resurgence Casual is unavailable"
strategy,Warzone,Prioritise target-weapon eliminations. Use casual or respawn-heavy playlists where possible. Ignore wins unless the challenge requires Top 10 placement.
avoid,Warzone,Avoid Black Ops Royale for targeted weapon camos unless the weapon is easy to find or the challenge specifically requires that mode.
