perk_id,perk_name,perk_slot,combat_specialty_family,ui_colour,raw_description,effect_tags,recommendation_tags,source,source_date,verification_status,notes
tac_sprinter,Tac Sprinter,1,Enforcer,Red,"Enables Tactical Sprint, but reduces your normal sprint speed.",tactical_sprint;normal_sprint_speed_penalty,mobility;aggressive_play;large_map_rotation,in_game_screenshot,2026-07-11,verified,
gung_ho,Gung Ho,1,Enforcer,Red,Fire while sprinting. Improved movement speed while reloading or using Equipment.,fire_while_sprinting;reload_movement_speed;equipment_use_movement_speed,aggressive_play;small_maps;equipment_challenges;run_and_gun,in_game_screenshot,2026-07-11,verified,
lightweight,Lightweight,1,Enforcer,Red,"Increased movement speed. Jump, slide, and dive further. Faster recovery from sliding and diving.",movement_speed;jump_distance;slide_distance;dive_distance;slide_recovery;dive_recovery,mobility;aggressive_play;objective_rotation;small_maps,in_game_screenshot,2026-07-11,verified,
ghost,Ghost,1,Recon,Blue,"Undetectable by enemy Scout Pulse and UAV when moving, planting, defusing, or controlling Scorestreaks. Undetectable by Prox Alarm.",scout_pulse_immunity;uav_immunity;prox_alarm_immunity;conditional_stealth,stealth;search_and_destroy;objective_play;flanking,in_game_screenshot,2026-07-11,verified,
ninja,Ninja,1,Recon,Blue,Move more quietly.,movement_audio_reduction,stealth;search_and_destroy;flanking;close_range,in_game_screenshot,2026-07-11,verified,
gearhead,Gearhead,1,Strategist,Green,Two Field Upgrade charges. Booby trap Care Packages. Recharge equipment over time.,two_field_upgrade_charges;care_package_booby_trap;equipment_recharge,field_upgrade_challenges;equipment_challenges;objective_defence;support,in_game_screenshot,2026-07-11,verified,
flak_jacket,Flak Jacket,1,Strategist,Green,Reduces incoming explosive and fire damage.,explosive_damage_resistance;fire_damage_resistance,objective_play;small_maps;hardpoint;domination;survivability,in_game_screenshot,2026-07-11,verified,
scavenger,Scavenger,2,Enforcer,Red,Resupply ammo and Equipment from killed enemies.,ammo_resupply;equipment_resupply;enemy_drop_resupply,long_streaks;weapon_grinding;equipment_challenges;aggressive_play,in_game_screenshot,2026-07-11,verified,
assassin,Assassin,2,Enforcer,Red,"Kill streaking enemies are marked on your minimap and drop Bounty Packs when killed. On respawn, see your killer's last known position for a short duration.",streaking_enemy_mark;minimap_mark;bounty_pack_drop;killer_last_position,score_gain;enemy_tracking;revenge_kills;team_deathmatch,in_game_screenshot,2026-07-11,verified,
close_shave,Close Shave,2,Enforcer,Red,Automatically use dedicated melee when you perform a weapon butt. Melee kills replenish health and earn extra score.,dedicated_melee_override;melee_health_recovery;melee_bonus_score,melee_challenges;close_range;small_maps;aggressive_play,in_game_screenshot,2026-07-11,verified,
vigilance,Vigilance,2,Recon,Blue,Increased minimap area. Display a HUD icon when you appear on hostile minimaps. Immune to CUAV and Scrambler.,minimap_area_increase;hostile_minimap_warning;cuav_immunity;scrambler_immunity,information;counter_recon;search_and_destroy;map_awareness,in_game_screenshot,2026-07-11,verified,
blast_link,Blast Link,2,Recon,Blue,Your explosive damage marks enemies on your minimap. Grant this benefit to all allies. Earn score when they deal explosive damage.,explosive_enemy_mark;team_explosive_mark;ally_explosive_score,explosive_challenges;equipment_challenges;team_support;objective_defence,in_game_screenshot,2026-07-11,verified,
