gun_id,gun_name,weapon_class,stats_profile,damage_close,range_close_m,damage_mid,range_mid_m,damage_long,fire_rate_rpm,ads_ms,sprint_to_fire_ms,recoil,bullet_velocity,mag_size,head_damage_close,head_damage_mid,head_damage_long,damage_profile_notes,source,source_date,verification_status,verification_notes,head_multiplier,mags,reload_ms,jump_ads_ms,slide_to_fire_ms,dive_to_fire_ms,jump_sprint_to_fire_ms,damage_range_profile,gun_kick,horizontal_recoil,vertical_recoil,first_shot_recoil,kick_reset_speed,aiming_idle_sway,aiming_idle_sway_delay,flinch_resistance,movement_speed,crouch_movement_speed,sprint_movement_speed,ads_movement_speed
ds20_mirage,DS20 Mirage,assault_rifle,multiplayer,27,25,23,44,22,625,270,220,24.17,720,30,35,30,29,"Visible MP base profile: head 35 x1.3; body ladder 0-25m:27, 25-44m:23, 44m+:22. Generic recoil is average of gun kick 12.32, horizontal 3.73, vertical 56.46.",in-game screenshot,2026-07-10,verified,Fresh MP DS20 Mirage row. Captured from base weapon with no attachments.,,,,,,,,,,,,,,,,,,,,
vx_compact,VX Compact,assault_rifle,multiplayer,18,16,17,38,13,1034,235,195,20.57,690,25,22,20,16,"Visible MP base profile: head 22 x1.2; body ladder 0-16m:18, 16-38m:17, 38-52m:15, 52m+:13. Engine v1 stores three body bands, so long uses max falloff.",automated in-game screenshot,2026-07-10,verified,Captured from automated Gunsmith base screenshot.,1.2,4,2730,312,420,470,283,0-16:18;16-38:17;38-52:15;52+:13,14.82,3.3,43.6,1.0,600,0.42,2200,0.18,4.9,2.7,7.0,3.2
x9_maverick,X9 Maverick,assault_rifle,multiplayer,33,18,31,40,22,464,260,200,23.31,760,30,42,40,29,"Visible MP base profile: head 42 x1.3; body ladder 0-18m:33, 18-29m:31, 29-40m:29, 40m+:22. Engine v1 stores three body bands, so long uses max falloff.",in-game screenshot,2026-07-10,verified,Fresh MP restart row. Old Warzone/Codmunity values intentionally not reused.,,,,,,,,,,,,,,,,,,,,
ryden_45k,Ryden 45K,smg,multiplayer,22,12,21,18,13,909,195,130,37.74,530,30,27,25,16,,,,needs_review,Verification status added during CSV consistency repair; source date unavailable.,1.2,4,2933,256,330,410,189,0-12:22;12-18:21;18-34:15;34+:13,37.74,11.25,53.65,1.0,600,0.39,2200,0.12,5.0,2.8,7.1,3.5
an_94,AN-94,assault_rifle,multiplayer,30,24,23,37,19,638,265,257,34.51,750,30,34,26,21,Head 34 x1.1; body 30; mid 23; long 19.,automated in-game screenshot,2026-07-10,verified,,1.1,3,3200,354,440,520,386,0-24:30;24-37:23;37+:19,34.51,15.67,48.98,1.0,600,0.42,2200,0.18,4.6,2.5,6.8,2.9
mk35_isr,MK35 ISR,assault_rifle,multiplayer,24,42,19,,19,750,260,240,,650,30,27,21,21,Base body damage 24 to 42 m then 19; head multiplier shown as x1.1,BO7 Gunsmith screenshot,2026-07-10,verified,Parsed from no-attachment MK35 ISR base screenshot; Multiplayer profile uses 100 HP,1.1,3,2933,347,430,480,348,0-42:24|42+:19,14.2,7.82,44.13,1.0,600,0.42,2200,0.18,4.7,2.6,6.9,3.0
rk_9,RK-9,smg,multiplayer,32,9,30,22,23,556,190,120,58.5,570.0,30,40,,,Head 40 x1.3; body 32; mid 30; far 23; minimum 18.,automated in-game screenshot,2026-07-10,verified,,1.3,4,2867,249,310,390,174,0-9:32;9-22:30;22-30:23;30+:18,58.5,28.36,55.35,1.0,600,0.39,2200,0.12,5.2,2.9,7.3,3.6
razor_9mm,RAZOR 9MM,smg,multiplayer,21,13,18,20,12,1000,210,150,24.65,500,30,26,,,Head 26 x1.2; body 21; mid 18; far 14; minimum 12.,automated in-game screenshot,2026-07-10,verified,,1.2,4,2760,277,350,430,218,0-13:21;13-20:18;20-30:14;30+:12,24.65,16.82,49.0,1.0,600,0.39,2200,0.12,4.9,2.8,7.1,3.4
dravec_45,DRAVEC 45,smg,multiplayer,26,11,21,18,17,652,235,170,45.26,610,36,33,,,Head 33 x1.3; body 26; mid 21; far 17; minimum 15.,automated in-game screenshot,2026-07-10,verified,,1.3,3,2600,312,370,450,247,0-11:26;11-18:21;18-27:17;27+:15,45.26,24.29,48.14,1.0,600,0.39,2200,0.12,4.8,2.7,7.0,3.4
carbon_57,CARBON 57,smg,multiplayer,24,15,19,25,14,833,240,170,46.93,550,50,27,,,Head 27 x1.1; body 24; mid 19; far 16; minimum 14.,automated in-game screenshot,2026-07-10,verified,,1.1,3,3200,319,370,450,247,0-15:24;15-25:19;25-36:16;36+:14,46.93,24.77,50.78,1.0,600,0.39,2200,0.12,4.8,2.6,7.0,3.3
m10_breacher,M10 BREACHER,shotgun,multiplayer,220,3,200,8,151,76,300,210,53.60,320,8,80,80,80,Pellet count 8. Damage profile shown as 0-3:220;3-8:200;8-17:151;17-33:90. Body-region display shows 80.,automated in-game screenshot,2026-07-15,verified,,,4,6810,403,480,530,305,0-3:220;3-8:200;8-17:151;17-33:90,53.60,42.04,98.04,1.00,1600,0.48,2200,0.20,4.7,2.7,7.1,3.2
shadow_sk,SHADOW SK,sniper_rifle,multiplayer,112,51,106,76,98,86,580,260,26.00,870,10,336,318,294,"Visible MP base profile: head 336 x3; upper torso 224 visible but not modelled; body ladder 0-51m:112, 51-76m:106, 76m+:98.",automated in-game screenshot,2026-07-15,verified,"Captured from Shadow SK base weapon screenshot with no attachments equipped.",3,3,2800,742,480,560,351,0-51:112;51-76:106;76+:98,26.00,14.61,20.81,1.00,700,0.79,2200,0.75,4.7,2.4,6.8,2.0
xm325,XM325,lmg,multiplayer,23,36,18,51,16,1020,390,220,18.93,750,60,29,,,Head 29 x1.3; body 23; mid 18; long 16.,automated in-game screenshot,2026-07-18,needs_review,Base screenshot missing; base values read from no-modifier optic screen.,1.3,3,5733,512,430,510,308,0-36:23;36-51:18;51+:16,18.93,11.31,44.13,1.0,400,0.53,2200,0.1,4.6,2.1,6.7,2.7
