scorestreak_id,scorestreak_name,score_cost,unlock_type,unlock_level,unlock_raw_value,raw_description,effect_tags,recommendation_tags,overclock_option_count,max_active_overclocks,source,source_url,source_date,verification_status,notes
scout_pulse,Scout Pulse,350,player_level,0,0,Radar ping that reveals nearby enemies on the user’s minimap.,recon;radar_ping;nearby_enemy_reveal;minimap,low_cost;recon;small_maps;scorestreak_grinding,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,Level 0 is a valid player-level unlock.
rc_xd,RC-XD,400,player_level,5,5,"Deploy a small remote controlled, remote detonated explosive vehicle.",remote_controlled;ground_vehicle;remote_detonation;explosive,low_cost;manual_control;anti_personnel;objective_clear,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
uav,UAV,500,player_level,11,11,UAV recon ship that reveals enemy locations on the minimap.,recon;aerial;enemy_location_reveal;minimap,team_support;recon;general_purpose;scorestreak_grinding,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
skewer,Skewer,525,player_level,0,0,Fire and forget air-to-ground projectile for precision eliminations. Bladed design minimizes collateral damage.,fire_and_forget;air_to_ground;precision_strike;low_collateral,precision_elimination;anti_personnel;objective_pick,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,Level 0 is a valid player-level unlock.
care_package,Care Package,550,player_level,26,26,Call in an airdrop that contains a random Scorestreak.,airdrop;random_scorestreak;support,scorestreak_grinding;random_reward;low_cost,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
deadeye_drone,Deadeye Drone,575,weekly_challenge,,---,Remote piloted aerial drone equipped with a small magazine sniper rifle.,remote_piloted;aerial;sniper_rifle;limited_ammo,manual_control;precision_elimination;anti_personnel,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,User clarified that --- denotes a prior weekly-challenge unlock.
counter_uav,Counter UAV,600,player_level,20,20,A drone that scrambles all enemy minimaps.,aerial;enemy_minimap_scramble;recon_denial,team_support;counter_recon;score_gain,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
napalm_strike,Napalm Strike,700,player_level,33,33,Launch a targeted carpet bomb strike of explosive napalm.,targeted_airstrike;carpet_bomb;incendiary;area_denial,objective_clear;area_control;anti_personnel,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
ldbr,LDBR,725,player_level,38,38,Launch a continuous bombardment of explosive shells at a targeted area.,targeted_bombardment;explosive_shells;continuous_fire;area_denial,objective_clear;area_control;anti_personnel,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
sentry_turret,Sentry Turret,750,player_level,21,21,Automated turret that scans for and attacks nearby enemies in a forward-facing cone.,deployable;automated_turret;forward_cone;anti_personnel,objective_defence;area_control;passive_kills,2,1,IGN table HTML supplied by user,https://www.ign.com/wikis/call-of-duty-black-ops-7/All_Scorestreaks,2026-07-11,secondary_source_user_clarified,
